agency_name,site_name,specialty,specialty_desc,nokids_notherapy,nokids_notherapy_desc,not_applicable,not_applicable_desc,site_city,site_zip_code,site_county,population_simple,type,address,phone,date_called,reached,new_patients,wait_time,weeks_low,weeks_high,weeks_mean,months_low,months_high,lat,long,geometry
"AIDS Center of Queens County, Inc.","AIDS Center of Queens County, Inc.",,,,,,,Jamaica,11432.0,Queens,Adolescents,School,,,,,,,,,,,,40.698874,-73.834265,"[-73.834265, 40.698874]"
Jewish Board of Family & Children's Services,JBFCS Child Development Center Clinic,,,,,,,New York,10037.0,New York,Children,Community,,,,,,,,,,,,40.8155905,-73.9369924,"[-73.9369924, 40.8155905]"
"Catholic Charities Neighborhood Services, Inc",Glendale School Satellite Clinic at Maspeth High School,,,,,,,Maspeth,11373.0,Queens,Adolescents,School,,,,,,,,,,,,40.7290832,-73.887571,"[-73.887571, 40.7290832]"
Jewish Board of Family & Children's Services,TEP Early Childhood Campus,,,,,,,New York,10033.0,New York,Children,School,,,,,,,,,,,,40.850955,-73.934907,"[-73.934907, 40.850955]"
Jewish Board of Family & Children's Services,JBFCS Counseling Service at the Manhattan JCC Site,,,,,,,New York,10023.0,New York,Children & Adolescents,Community,,,,,,,,,,,,40.7811304,-73.9802022,"[-73.9802022, 40.7811304]"
"Union Settlement Association, Inc.",James Weldon Johnson Clinic Satellite,,,,,,,New York,10029.0,New York,Children & Adolescents,Community,,,8/4/22,emailed again,,,,,,,,40.7969626,-73.9402983,"[-73.9402983, 40.7969626]"
"Union Settlement Association, Inc.",Lexington Gardens,,,,,,,New York,10029.0,New York,Children & Adolescents,Community,,,8/4/22,emailed again,,,,,,,,40.7935931,-73.94686589999999,"[-73.94686589999999, 40.7935931]"
"Mental Health Providers of Western Queens, In",I.S. 125 - Thomas J. McCann School,,,,,,,Woodside,11377.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7409301,-73.9193086,"[-73.9193086, 40.7409301]"
"Mental Health Providers of Western Queens, In",I.S. 126,,,,,,,Long Island City,11106.0,Queens,Adolescents,School,,,,,,,,,,,,40.76603799999999,-73.9299659,"[-73.9299659, 40.76603799999999]"
"Mental Health Providers of Western Queens, In",I.S. 204 and Energy Tech High School,,,,,,,Long Island City,11106.0,Queens,Adolescents,School,,,,,,,,,,,,40.75647,-73.9326361,"[-73.9326361, 40.75647]"
"Mental Health Providers of Western Queens, In",I.S. 5 Q Satellite,,,,,,,Elmhurst,11373.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7373295,-73.8877061,"[-73.8877061, 40.7373295]"
"Mental Health Providers of Western Queens, In",P.S. 151 Satellite,,,,,,,Woodside,11377.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.75761019999999,-73.9081959,"[-73.9081959, 40.75761019999999]"
"Mental Health Providers of Western Queens, In",P.S. 166 Satellite,,,,,,,Long Island City,11106.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.75738610000001,-73.9261081,"[-73.9261081, 40.75738610000001]"
"Mental Health Providers of Western Queens, In",P.S. 199 Satellite,,,,,,,Sunnyside,11104.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7395501,-73.9262535,"[-73.9262535, 40.7395501]"
"Mental Health Providers of Western Queens, In",P.S. 76,,,,,,,Long Island City,11106.0,Queens,Children,School,,,,,,,,,,,,40.7595044,-73.9271644,"[-73.9271644, 40.7595044]"
"Mental Health Providers of Western Queens, In",P.S./I.S. 102,,,,,,,Elmhurst,11373.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7332374,-73.8780027,"[-73.8780027, 40.7332374]"
"Mental Health Providers of Western Queens, In",Queens Technical High School,,,,,,,Long Island City,11101.0,Queens,Adolescents,School,,,,,,,,,,,,40.7418353,-73.9279787,"[-73.9279787, 40.7418353]"
"Mental Health Providers of Western Queens, In",The International H.S. & Middle College H.S.,,,,,,,Astoria,11101.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7433295,-73.9333269,"[-73.9333269, 40.7433295]"
"Mental Health Providers of Western Queens, In",William Cullen Bryant High School,,,,,,,Long Island City,11103.0,Queens,Adolescents,School,,,,,,,,,,,,40.7576896,-73.91037779999999,"[-73.91037779999999, 40.7576896]"
"Union Settlement Association, Inc.",Washington Lexington Senior Center,,,,,,,New York,10029.0,New York,Children & Adolescents,Community,,(212) 828-6115,8/4/22,emailed again,,,,,,,,40.7862549,-73.94754329999999,"[-73.94754329999999, 40.7862549]"
"New Horizon Counseling Center, Inc., The",The Wellness Place @ PS/IS 183Q,,,,,,,Far Rockaway,11693.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.589004,-73.8060076,"[-73.8060076, 40.589004]"
Jewish Board of Family & Children's Services,JBFCS Coney Island CSS Clinic Program,,,,,,,Brooklyn,11224.0,Kings,Children & Adolescents,Community,,,,,,,,,,,,40.5742803,-74.0018723,"[-74.0018723, 40.5742803]"
"New Horizon Counseling Center, Inc., The",New Horizon Wellness Place at P.S. 65Q,,,,,,,Ozone Park,11417.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.68265359999999,-73.84156899999999,"[-73.84156899999999, 40.68265359999999]"
NYC-HHC Elmhurst Hospital Center,Elmhurst Hospital Mental Health School-based Clinic,,,,,,,Jackson Heights,11372.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.754408,-73.8875103,"[-73.8875103, 40.754408]"
NYC-HHC Queens Hospital Center,Jamaica High School Clinic Satellite,,,,,,,Jamaica,11432.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.71443319999999,-73.79825240000001,"[-73.79825240000001, 40.71443319999999]"
NYC-HHC Queens Hospital Center,P.S. 154,,,,,,,Fresh Meadows,11366.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7266396,-73.8077048,"[-73.8077048, 40.7266396]"
NYC-HHC Queens Hospital Center,P.S. 160,,,,,,,Jamaica,11435.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.688145,-73.80000330000001,"[-73.80000330000001, 40.688145]"
Long Island Jewish Medical Center,Long Island Jewish @ Martin Van Buren High School,,,,,,,Queens Village,11427.0,Queens,Adolescents,School,,,,,,,,,,,,40.7336309,-73.7391435,"[-73.7391435, 40.7336309]"
Astor Services for Children & Families,Astor @ Mott Hall V,,,,,,,Bronx,10472.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8318874,-73.8772819,"[-73.8772819, 40.8318874]"
Astor Services for Children & Families,Astor at Bronxwood,,,,,,,Bronx,10467.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8462893,-73.8893633,"[-73.8893633, 40.8462893]"
Astor Services for Children & Families,Richard R. Green Campus Satellite Clinic,,,,,,,Bronx,10467.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8808122,-73.8605855,"[-73.8605855, 40.8808122]"
"Sheltering Arms Children and Family Services,",Sheltering Arms Wellness Center at Rockaway Collegiate HS,,,,,,,Rockaway,11694.0,Queens,Adolescents,School,,,,,,,,,,,,40.5865793,-73.8234351,"[-73.8234351, 40.5865793]"
"Sheltering Arms Children and Family Services,",Sheltering Arms at PS/MS 42 - The Wellness Center,,,,,,,Arverne,11692.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.594435,-73.7949455,"[-73.7949455, 40.594435]"
"The Child Center of NY, Inc.",August Martin High School,,,,,,,Jamaica,11434.0,Queens,Adolescents,School,,,,,,,,,,,,40.6748926,-73.7831781,"[-73.7831781, 40.6748926]"
"The Child Center of NY, Inc.",CCNY at Richmond Hill High School,,,,,,,Jamaica,11418.0,Queens,Adolescents,School,,,,,,,,,,,,40.702299,-73.814717,"[-73.814717, 40.702299]"
Astor Services for Children & Families,Astor at x083,,,,,,,Bronx,10462.0,Bronx,Adolescents,School,,,,,,,,,,,,40.8492587,-73.85886099999999,"[-73.85886099999999, 40.8492587]"
Astor Services for Children & Families,Astor at BECA x324,,,,,,,Bronx,10456.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8280778,-73.91751959999999,"[-73.91751959999999, 40.8280778]"
"The Child Center of NY, Inc.",PS 197 - The Ocean School,,,,,,,Far Rockaway,11691.0,Queens,Children,School,,,,,,,,,,,,40.7069739,-73.4829838,"[-73.4829838, 40.7069739]"
"The Child Center of NY, Inc.",Prep Academy for Writers - SG Campus,,,,,,,Springfield Gardens,11413.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.6675872,-73.75817420000001,"[-73.75817420000001, 40.6675872]"
"The Child Center of NY, Inc.",The Child Center of NY at The New Preparatory School - MS 8Q,,,,,,,Jamaica,11433.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.697147,-73.7864872,"[-73.7864872, 40.697147]"
"The Child Center of NY, Inc.",Flushing High School,,,,,,,Flushing,11354.0,Queens,Adolescents,School,,,,,,,,,,,,40.76477140000001,-73.8263806,"[-73.8263806, 40.76477140000001]"
"The Child Center of NY, Inc.",JHS 185,,,,,,,Flushing,11354.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7749864,-73.8185642,"[-73.8185642, 40.7749864]"
Astor Services for Children & Families,Astor at 09x361 Highbridge Green,,,,,,,Bronx,10452.0,Bronx,Children & Adolescents,School,,,,,,,,,,,,40.8380483,-73.9279911,"[-73.9279911, 40.8380483]"
NYC-HHC Kings County Hospital Center,Kings County Hospital Adult Clinic,,,,,,,Brooklyn,11203.0,Kings,Adolescents,Community,,,,,,,,,,,,40.657285,-73.9465508,"[-73.9465508, 40.657285]"
"The Child Center of NY, Inc.",CCNY Pan American International HS,,,,,,,Elmhurst,11373.0,Queens,Children & Adolescents,School,,,,,,,,,,,,40.7434324,-73.8714707,"[-73.8714707, 40.7434324]"
"The Child Center of NY, Inc.",The Child Center @ Long Island City High School,,,,,,,Long Island City,11106.0,Queens,Adolescents,School,,,,,,,,,,,,40.7595044,-73.9271644,"[-73.9271644, 40.7595044]"
Association to Benefit Children,Fast Break Murry Bergtraum,,,,,,,New York,10038.0,New York,Adolescents,School,,,,,,,,,,,,40.7112411,-74.0014423,"[-74.0014423, 40.7112411]"
Association to Benefit Children,Fast Break - The Bronx,,,,,,,Bronx,10452.0,Bronx,Children & Adolescents,Community,1841 Park Avenue,646-459-6165,6/23/22,yes,yes,3-4 months,13.04,17.38,15.21,3.26,4.35,40.8398641,-73.9188205,"[-73.9188205, 40.8398641]"
Association to Benefit Children,ABC @ Joan of Arc Complex,,,,,,,New York,10025.0,New York,Children & Adolescents,School,,,,,,,,,,,,40.7912562,-73.9711111,"[-73.9711111, 40.7912562]"
Richmond Medical Center dba Richmond UMC,I.S. 2 Satellite,,,,,,,Staten Island,10306.0,Richmond,Children & Adolescents,School,,,,,,,,,,,,40.57698370000001,-74.1005498,"[-74.1005498, 40.57698370000001]"
Richmond Medical Center dba Richmond UMC,I.S. 27 Clinic Satellite,,,,,,,Staten Island,10301.0,Richmond,Adolescents,School,,,,,,,,,,,,40.6283442,-74.1177197,"[-74.1177197, 40.6283442]"
Richmond Medical Center dba Richmond UMC,I.S. 49 Clinic Satellite,,,,,,,Staten Island,10304.0,Richmond,Adolescents,School,,,,,,,,,,,,40.6206375,-74.0809565,"[-74.0809565, 40.6206375]"
Richmond Medical Center dba Richmond UMC,P.S. 44 Clinic Satellite,,,,,,,Staten Island,10303.0,Richmond,Children,School,,,,,,,,,,,,40.6317646,-74.15698909999999,"[-74.15698909999999, 40.6317646]"
Richmond Medical Center dba Richmond UMC,P.S. 57 Clinic Satellite,,,,,,,Staten Island,10304.0,Richmond,Children,School,,,,,,,,,,,,40.61110499999999,-74.0835548,"[-74.0835548, 40.61110499999999]"
Richmond Medical Center dba Richmond UMC,P.S. 78 Clinic Satellite,,,,,,,Staten Island,10304.0,Richmond,Children,School,,,,,,,,,,,,40.62223609999999,-74.07912089999999,"[-74.07912089999999, 40.62223609999999]"
Richmond Medical Center dba Richmond UMC,SIMHS Chait Clinic of RUMC @ Pediat,,,,,,,Staten Island,10310.0,Richmond,Children & Adolescents,School,,,,,,,,,,,,40.63449079999999,-74.1092682,"[-74.1092682, 40.63449079999999]"
Richmond Medical Center dba Richmond UMC,Staten Island MH Society CHAIT Clinic of RUMC,,,,,,,Staten Island,10301.0,Richmond,Children & Adolescents,School,,,,,,,,,,,,40.6352635,-74.10376219999999,"[-74.10376219999999, 40.6352635]"
